Stock_A,Stock_B,Hedge_Ratio,ADF_Stat,ADF_PValue,Correlation,Half_Life,Spread_Mean,Spread_Std,Valid
DATAMATICS.NS,INTELLECT.NS,0.04879711585416928,-4.868355627226051,4.017313014633133e-05,0.2862151003413226,3.5222203381728607,574.4254219563436,30.82596348879827,True
DATAMATICS.NS,KPITTECH.NS,0.20768138845929596,-4.516357415472104,0.00018368186584348216,0.537502531124843,3.2608606770444313,346.11875896836375,27.1293119586531,True
DATAMATICS.NS,MASTEK.NS,0.0914531523836086,-5.813600733342689,4.343878127334894e-07,0.6729440048909995,2.4480451423774765,396.8563276333714,23.797313905200873,True
DATAMATICS.NS,MPHASIS.NS,0.09612357431366853,-5.612751703544563,1.193156039642762e-06,0.6680636399065145,2.3892830018412377,373.5141588437338,23.9392147825974,True
DATAMATICS.NS,NAZARA.NS,0.024536672732918263,-4.847306420856853,4.411766113639888e-05,0.12272136207798891,3.620489129476596,591.5047136086524,31.928678939522534,True
DATAMATICS.NS,NEWGEN.NS,0.07079937977183774,-5.598106957934993,1.2831695783490765e-06,0.4547042035443766,3.033247048742846,537.4271727497745,28.653626890058458,True
DATAMATICS.NS,OFSS.NS,0.0165784028004259,-5.495038962856184,2.1328263461364657e-06,0.5685843109242431,2.717169447296049,473.83203279599115,26.465376731583607,True
DATAMATICS.NS,PANACHE.NS,0.12589945003192365,-4.969500459111934,2.5493573668536873e-05,0.16569283907980809,3.6195037551258027,586.7371368219152,31.727162250097663,True
DATAMATICS.NS,PERSISTENT.NS,0.040614152290446195,-5.21831757689083,8.065748077992921e-06,0.5554418197708976,2.774645654128767,388.8612184767401,26.752684527957236,True
DATAMATICS.NS,SARLAPOLY.NS,0.5333264728690096,-4.907774528574376,3.3679311872094116e-05,0.2544419222033534,3.6129709425622125,567.918192044738,31.113022229998514,True
DATAMATICS.NS,SONATSOFTW.NS,0.20655978027119481,-5.754838796821842,5.852280966797215e-07,0.5382516325269149,2.823095229864706,529.4456180682702,27.11393535840797,True
DATAMATICS.NS,TANLA.NS,0.20429219761105633,-5.418911190399958,3.090798945946963e-06,0.5290921568690006,2.871103830379122,504.5519133895634,27.29989470160161,True
DATAMATICS.NS,TATAELXSI.NS,0.031109918687091193,-4.811346195210798,5.1732074334365044e-05,0.4749792249939124,3.292856851433793,433.8237116657847,28.311141194011594,True
DATAMATICS.NS,TCS.NS,0.05213241312874318,-5.298774046542334,5.507761782025761e-06,0.4626796795483885,3.063590335625571,429.22240565324563,28.521175840753408,True
DATAMATICS.NS,TECHM.NS,0.1293123202359775,-5.276855339366375,6.1136279740143515e-06,0.47236951902579793,3.075286578902115,418.13481247102936,28.356297690234843,True
DATAMATICS.NS,TEJASNET.NS,0.11862203102765996,-4.992934589813677,2.2918920851103598e-05,0.4988389992072382,3.231455100121319,522.5607623713836,27.883180231690964,True
DATAMATICS.NS,UNOMINDA.NS,0.18501629246431048,-5.151499755292449,1.1034424074461865e-05,0.5162146142168643,3.040239935728072,438.3964044623128,27.553888163127716,True
DATAMATICS.NS,WIPRO.NS,0.5127598537875854,-4.899674643101659,3.4925250627886766e-05,0.38887580055166904,3.388182589052874,478.61992845536247,29.639619618978106,True
ECLERX.NS,ELECON.NS,2.8249710445795007,-1.6226097487127795,0.47136137332613703,0.7154646638609667,17.818072639235346,1496.9504916173064,269.58062848690406,False
ECLERX.NS,EMUDHRA.NS,-0.7532038955343194,-1.6549339685376028,0.45446850108824116,-0.15388774019860285,26.965105161498464,3661.779980256711,381.26370359661644,False
ECLERX.NS,HCLTECH.NS,2.2027651089923355,-1.7430173865974994,0.40909591218961217,0.7036402566601214,13.726310412959213,-573.0520775450462,274.17524532093125,False
ECLERX.NS,IGARASHI.NS,1.482685563196999,-1.348403314741955,0.6067473371805756,0.3122712583698836,46.448943154450724,2262.7143630489436,366.5642310469167,False
